Fold,assay_id,AUC,Test_Set_Length,Num_Actives,Num_Inactives
0,1_1,0.47619047619047616,22,1,21
0,100_277,0.4375,9,1,8
0,100_278,0.35714285714285715,9,2,7
0,104_291,0.5897435897435898,16,3,13
0,105_369,0.4666666666666667,16,1,15
0,105_361,0.4666666666666667,16,1,15
0,105_378,0.41818181818181815,16,5,11
0,105_352,0.5999999999999999,16,6,10
0,104_289,0.5897435897435898,16,3,13
0,105_375,0.4285714285714286,16,2,14
0,104_300,0.2857142857142857,10,3,7
0,104_326,0.5238095238095237,10,3,7
0,104_323,0.4444444444444444,10,1,9
0,105_339,0.41818181818181815,16,5,11
0,105_341,0.6666666666666666,16,4,12
0,105_360,0.41818181818181815,16,5,11
0,105_362,0.4666666666666666,16,6,10
0,105_374,0.4666666666666666,16,6,10
0,105_382,0.4920634920634921,16,7,9
0,105_385,0.4375,9,1,8
0,105_391,1.0,9,1,8
0,106_392,0.46875,17,1,16
0,108_394,0.35714285714285715,9,2,7
0,109_395,0.6785714285714286,9,2,7
0,11_21,0.6785714285714286,9,2,7
0,11_22,0.35714285714285715,9,2,7
0,110_397,0.4444444444444444,40,4,36
0,110_398,0.5098039215686274,40,6,34
0,110_399,0.45945945945945943,40,3,37
0,110_400,0.4736842105263158,40,2,38
0,110_401,0.4285714285714286,40,5,35
0,111_402,0.46296296296296297,29,2,27
0,112_406,0.4375,9,1,8
0,113_407,0.325,9,4,5
0,114_408,0.4375,9,1,8
0,116_411,0.42,29,4,25
0,116_412,0.4642857142857143,30,2,28
0,116_415,0.44999999999999996,11,5,6
0,116_416,0.4,12,2,10
0,116_421,0.4285714285714286,16,2,14
0,116_424,0.611111111111111,21,3,18
0,116_425,0.46875,17,1,16
0,116_426,0.4642857142857143,30,2,28
0,116_427,0.4746376811594203,29,6,23
0,117_429,0.48660714285714285,23,7,16
0,117_430,0.425,23,3,20
0,118_432,0.4285714285714286,16,2,14
0,118_434,0.7083333333333334,7,3,4
0,12_23,0.5499999999999999,18,8,10
0,13_24,0.5499999999999999,18,8,10
0,14_25,0.3076923076923077,18,5,13
0,143_495,0.39285714285714285,17,3,14
0,145_497,0.3888888888888889,11,2,9
0,15_26,0.47058823529411764,18,1,17
0,153_510,0.45,11,1,10
0,154_511,0.4444444444444444,10,1,9
0,16_27,0.5846153846153845,18,5,13
0,167_539,0.45,11,1,10
0,167_538,0.45,11,1,10
0,168_541,0.4444444444444444,20,2,18
0,168_542,0.4642857142857143,15,1,14
0,168_543,0.4230769230769231,15,2,13
0,169_544,0.45,22,2,20
0,169_545,0.47619047619047616,22,1,21
0,169_548,0.45,22,2,20
0,169_549,0.42708333333333337,22,6,16
0,170_550,0.43333333333333335,17,2,15
0,170_551,0.46875,17,1,16
0,174_555,0.475,21,1,20
0,175_559,0.4375,9,1,8
0,175_561,0.4375,9,1,8
0,177_585,0.49683544303797467,318,2,316
0,178_684,0.501733375354554,186,19,167
0,179_659,0.4949664429530201,301,3,298
0,18_29,0.35714285714285715,18,4,14
0,180_686,0.4982847341337907,117,11,106
0,181_599,0.4583333333333333,13,1,12
0,181_600,0.4583333333333333,13,1,12
0,183_604,0.5173913043478262,148,10,138
0,184_606,0.5283145464304885,185,23,162
0,185_665,0.5545746388443018,185,7,178
0,185_666,0.542725988700565,185,8,177
0,186_668,0.48404255319148937,194,6,188
0,186_669,0.48947368421052634,194,4,190
0,19_30,0.5,16,4,12
0,190_628,0.4806949806949807,269,10,259
0,190_629,0.48863636363636365,270,6,264
0,190_674,0.48823529411764705,261,6,255
0,191_630,0.4887640449438202,546,12,534
0,191_631,0.4906716417910448,546,10,536
0,191_675,0.4975247524752475,203,1,202
0,192_635,0.6,18,3,15
0,193_723,0.5757575757575758,175,10,165
0,194_639,0.48467966573816157,370,11,359
0,194_678,0.49473684210526314,288,3,285
0,195_642,0.5013098356751607,349,26,323
0,196_644,0.4992248062015504,646,1,645
0,197_645,0.5335477941176471,145,17,128
0,197_646,0.5853758169934641,145,9,136
0,197_647,0.5416666666666667,22,4,18
0,197_648,0.47619047619047616,22,1,21
0,197_649,0.5086786114221725,351,47,304
0,197_650,0.49629909365558916,351,20,331
0,197_651,0.49130434782608695,351,6,345
0,198_682,0.5360628723539105,366,23,343
0,199_657,0.4777158774373259,375,16,359
0,201_660,0.4925373134328358,68,1,67
0,202_661,0.49264705882352944,483,7,476
0,203_662,0.49592391304347827,371,3,368
